NOMBRE_AGRUPACION,NOMBRE_REGION,VOTOS_AGRUPACION
CONSENSO FEDERAL,COMUNA 12,76341
CONSENSO FEDERAL,COMUNA 11,73767
CONSENSO FEDERAL,COMUNA 10,65931
CONSENSO FEDERAL,COMUNA 7,65686
CONSENSO FEDERAL,COMUNA 13,65254
CONSENSO FEDERAL,COMUNA 9,63038
CONSENSO FEDERAL,COMUNA 6,61431
CONSENSO FEDERAL,COMUNA 15,58865
CONSENSO FEDERAL,COMUNA 5,57158
CONSENSO FEDERAL,COMUNA 4,56086
CONSENSO FEDERAL,COMUNA 14,55714
CONSENSO FEDERAL,COMUNA 3,50217
CONSENSO FEDERAL,COMUNA 8,44390
CONSENSO FEDERAL,COMUNA 1,43579
CONSENSO FEDERAL,COMUNA 2,33330
